City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,51.8,58,75,3.44,AR,1612111689
Boyolangu,-8.1181,111.8935,76.21,86,100,2.04,ID,1612111883
Fort Nelson,58.8053,-122.7002,-20.2,76,75,3.44,CA,1612111883
Narsaq,60.9167,-46.05,39.2,28,75,25.32,GL,1612111884
Mataura,-46.1927,168.8643,55.38,70,100,2.08,NZ,1612111884
Burnie,-41.0667,145.9167,59.2,87,48,4.41,AU,1612111863
Nikolskoye,59.7035,30.7861,24.8,93,75,4.47,RU,1612111884
Cherskiy,68.75,161.3,-22.36,81,100,5.5,RU,1612111884
Novyy Urgal,51.0736,132.5642,-30.57,83,67,2.64,RU,1612111884
Hermanus,-34.4187,19.2345,73.99,71,26,8.01,ZA,1612111884
Harbour Breton,47.4833,-55.7983,34.45,85,67,15.35,CA,1612111884
Havre-St-Pierre,50.2334,-63.5986,24.8,63,90,12.66,CA,1612111885
Barrow,71.2906,-156.7887,-18.4,69,90,9.22,US,1612111714
Cockburn Town,21.4612,-71.1419,74.17,73,83,21.25,TC,1612111885
Malchevskaya,49.0552,40.3625,30.78,95,87,8.99,RU,1612111885
Cape Town,-33.9258,18.4232,73.99,83,75,13.8,ZA,1612111879
Constitución,-35.3333,-72.4167,65.21,74,22,7.09,CL,1612111885
Rudnogorsk,57.2639,103.7519,-41.08,81,10,2.04,RU,1612111885
Chui,-33.6971,-53.4616,68.81,87,100,17.74,UY,1612111869
Mathbaria,22.2876,89.9593,57.87,36,19,3.74,BD,1612111886
Dingle,10.9995,122.6711,73.35,88,86,9.8,PH,1612111886
Ancud,-41.8697,-73.8203,66.99,59,0,8.05,CL,1612111886
Yellowknife,62.456,-114.3525,-9.99,77,75,4.61,CA,1612111886
Pangnirtung,66.1451,-65.7125,0.77,88,95,2.8,CA,1612111887
Bengkulu,-3.8004,102.2655,76.03,86,100,5.14,ID,1612111887
Zhangye,38.9342,100.4517,22.95,67,0,4.68,CN,1612111887
Rikitea,-23.1203,-134.9692,78.62,68,14,8.93,PF,1612111887
Peleduy,59.6289,112.7406,-28.53,81,100,9.89,RU,1612111887
Kenai,60.5544,-151.2583,5.0,70,1,4.61,US,1612111887
Kapaa,22.0752,-159.319,70.0,88,75,16.11,US,1612111709
