City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,9.0,59,25,3.6,US,1612075005
1,port alfred,-33.5906,26.891,75.0,77,100,3.27,ZA,1612074849
2,saint-philippe,-21.3585,55.7679,89.6,58,0,20.71,RE,1612074760
3,nikolskoye,59.7035,30.7861,24.8,86,75,4.47,RU,1612075006
4,dakar,14.6937,-17.4441,66.2,88,100,11.5,SN,1612075007
5,boende,-0.2167,20.8667,76.19,87,35,3.22,CD,1612075007
6,souillac,-20.5167,57.5167,86.0,66,40,10.36,MU,1612075007
7,constitucion,-35.3333,-72.4167,57.88,90,24,6.13,CL,1612075007
8,bluff,-46.6,168.3333,57.49,77,100,5.68,NZ,1612075007
9,cape town,-33.9258,18.4232,69.01,88,90,12.66,ZA,1612074867
10,morondava,-20.2833,44.2833,85.03,65,0,3.42,MG,1612075008
11,yar-sale,66.8333,70.8333,-13.04,88,100,15.68,RU,1612074790
12,airai,-8.9266,125.4092,66.51,97,100,6.93,TL,1612075008
13,pakxan,18.3778,103.6601,89.01,37,25,5.7,LA,1612075009
14,jamestown,42.097,-79.2353,21.0,73,90,6.91,US,1612075009
15,langsa,4.4683,97.9683,87.1,56,100,6.35,ID,1612075009
16,talnakh,69.4865,88.3972,-30.06,71,0,7.65,RU,1612074790
17,busselton,-33.65,115.3333,93.99,29,0,1.99,AU,1612074799
18,bengkulu,-3.8004,102.2655,81.01,75,100,9.95,ID,1612075010
19,ushuaia,-54.8,-68.3,46.4,71,0,6.91,AR,1612075010
20,rikitea,-23.1203,-134.9692,78.93,77,9,10.16,PF,1612075010
21,cidreira,-30.1811,-50.2056,73.89,88,100,9.04,BR,1612075010
22,hithadhoo,-0.6,73.0833,82.29,77,75,15.95,MV,1612075010
23,kodiak,57.79,-152.4072,28.4,50,1,19.57,US,1612075011
24,puerto ayora,-0.7393,-90.3518,78.01,92,20,7.0,EC,1612075011
25,butaritari,3.0707,172.7902,81.48,79,100,15.97,KI,1612074790
26,mar del plata,-38.0023,-57.5575,60.01,58,75,13.8,AR,1612074754
27,arraial do cabo,-22.9661,-42.0278,75.67,83,95,25.1,BR,1612075011
28,khatanga,71.9667,102.5,-47.83,77,47,2.04,RU,1612075012
29,rennes,48.1667,-1.6667,48.2,93,90,9.22,FR,1612074728
30,kavieng,-2.5744,150.7967,83.39,72,100,10.83,PG,1612075012
31,tuktoyaktuk,69.4541,-133.0374,-32.8,68,40,3.44,CA,1612074766
32,pevek,69.7008,170.3133,-33.81,84,1,2.15,RU,1612075012
33,hamilton,39.1834,-84.5333,34.0,86,90,4.61,US,1612075013
34,mataura,-46.1927,168.8643,64.0,61,99,4.41,NZ,1612074747
35,elko,41.0002,-115.5012,25.0,82,0,5.99,US,1612075013
36,multai,21.7667,78.25,75.96,18,0,4.79,IN,1612075013
37,angoche,-16.2325,39.9086,83.1,74,100,8.84,MZ,1612075013
38,ialibu,-6.2821,143.9935,64.54,88,100,5.64,PG,1612075013
39,emerald,-23.5333,148.1667,96.8,23,40,10.36,AU,1612075014
40,chokurdakh,70.6333,147.9167,-31.09,84,0,9.08,RU,1612074782
41,hermanus,-34.4187,19.2345,75.99,70,2,1.01,ZA,1612075014
42,haimen,23.1935,116.6142,75.2,41,0,4.47,CN,1612075014
43,barrow,71.2906,-156.7887,-18.4,69,90,8.05,US,1612075014
44,cozumel,20.5083,-86.9458,72.0,82,100,10.54,MX,1612075014
45,punta arenas,-53.15,-70.9167,48.2,71,0,19.57,CL,1612074938
46,maragogi,-9.0122,-35.2225,76.55,82,100,6.04,BR,1612074936
47,sydney,-33.8679,151.2073,72.0,83,75,12.66,AU,1612074900
48,amga,60.8953,131.9608,-31.14,82,100,3.29,RU,1612075015
49,marawi,7.9986,124.2928,82.99,78,85,13.0,PH,1612075015
50,tasiilaq,65.6145,-37.6368,17.6,53,75,3.44,GL,1612075016
51,dikson,73.5069,80.5464,-32.19,79,0,5.46,RU,1612074789
